user_id,month,total_income,total_expenses,savings,savings_ratio,debt_ratio,expense_ratio,financial_health
user_0001,2024-01,70063.51,54982.56,15080.95,0.215,34.74240133759198,0.7847531998654699,Moderate
user_0001,2024-02,66753.22,58420.13,8333.09,0.125,35.444628446638085,0.8751657163481213,Moderate
user_0001,2024-03,67807.81,57119.81,10688.0,0.158,32.55904109342245,0.8423780242547442,Moderate
user_0001,2024-04,70970.77,58026.09,12944.68,0.182,33.631543008492876,0.8176054941002171,Moderate
user_0001,2024-05,70239.7,62001.82,8237.88,0.117,32.91504063862514,0.8827175681400932,Moderate
user_0001,2024-06,66743.53,61600.74,5142.79,0.077,34.207781647873986,0.9229469192677776,Moderate
user_0001,2024-07,72827.99,58559.34,14268.65,0.196,34.9988728359772,0.8040774421925424,Moderate
user_0001,2024-08,69596.95,60316.2,9280.75,0.133,35.34811056350431,0.8666499885432736,Moderate
user_0001,2024-09,70595.38,53778.04,16817.34,0.238,33.16116038398151,0.7617784277734235,Moderate
user_0001,2024-10,67977.67,54537.14,13440.53,0.198,33.288857884367026,0.8022802273548026,Moderate
user_0001,2024-11,70476.3,58456.48,12019.83,0.171,33.696496041987224,0.8294486728672316,Moderate
user_0001,2024-12,70898.85,52638.2,18260.65,0.258,32.54670594951762,0.7424407861209708,Moderate
user_0002,2024-01,45411.73,29094.51,16317.22,0.359,43.37007204198436,0.6406826886104419,Needs Improvement
user_0002,2024-02,45935.04,28411.72,17523.32,0.381,46.03938868386914,0.6185194811524887,Needs Improvement
user_0002,2024-03,44670.04,29855.79,14814.25,0.332,45.40098304813734,0.6683627603321268,Needs Improvement
user_0002,2024-04,48354.85,31498.78,16856.07,0.349,42.50455945420389,0.6514088704428794,Needs Improvement
user_0002,2024-05,45327.01,31228.7,14098.31,0.311,44.46179782459637,0.6889645118416307,Needs Improvement
user_0002,2024-06,47255.85,29934.92,17320.93,0.367,45.44647866909167,0.633464896443787,Needs Improvement
user_0002,2024-07,48979.71,31870.98,17108.73,0.349,45.62993701581837,0.6506976301962449,Needs Improvement
user_0002,2024-08,45953.53,31191.48,14762.05,0.321,42.634406617150134,0.6787614039471305,Needs Improvement
user_0002,2024-09,45689.94,31293.72,14396.22,0.315,43.558468254517386,0.68491492478383,Needs Improvement
user_0002,2024-10,45640.96,26891.57,18749.39,0.411,46.25032626436619,0.5891981549167885,Needs Improvement
user_0002,2024-11,46952.85,30003.72,16949.13,0.361,43.48200968497978,0.6390180369105756,Needs Improvement
user_0002,2024-12,48164.15,30497.2,17666.95,0.367,43.810306401808084,0.6331929217027649,Needs Improvement
user_0003,2024-01,97129.94,55959.02,41170.92,0.424,51.12142716940645,0.5761253629502562,Needs Improvement
user_0003,2024-02,99432.28,64571.5,34860.78,0.351,47.83660009869271,0.6494017726741528,Needs Improvement
user_0003,2024-03,100767.98,62567.24,38200.74,0.379,49.73120291884798,0.620903947693663,Needs Improvement
user_0003,2024-04,102568.81,58143.65,44425.16,0.433,46.99404825218858,0.5668745643973425,Needs Improvement
user_0003,2024-05,99688.14,62132.98,37555.16,0.377,49.16226557424963,0.6232735064204429,Needs Improvement
user_0003,2024-06,95131.96,59461.33,35670.63,0.375,47.87956103856272,0.6250405656020783,Needs Improvement
user_0003,2024-07,97294.43,61133.83,36160.6,0.372,49.9925498584342,0.6283384170882224,Needs Improvement
user_0003,2024-08,95380.96,58283.5,37097.46,0.389,47.66960080181075,0.6110600730998855,Needs Improvement
user_0003,2024-09,95051.73,62775.51,32276.22,0.34,50.792989447774744,0.6604351718529393,Needs Improvement
user_0003,2024-10,96733.51,62394.01,34339.5,0.355,50.73317821398258,0.6450092365411073,Needs Improvement
user_0003,2024-11,101397.5,55639.68,45757.82,0.451,51.0225218650326,0.5487283259217269,Needs Improvement
user_0003,2024-12,96796.66,57498.3,39298.36,0.406,46.660839904584655,0.5940111680529858,Needs Improvement
user_0004,2024-01,52765.14,31880.65,20884.5,0.396,16.900068633559783,0.6041990244761752,Good
user_0004,2024-02,51870.96,36721.27,15149.69,0.292,17.986947124326324,0.7079350383508108,Good
user_0004,2024-03,51794.47,37066.23,14728.23,0.284,17.95529555302427,0.7156407726466981,Good
user_0004,2024-04,54236.57,32141.29,22095.28,0.407,17.665943687387106,0.5926129459375945,Good
user_0004,2024-05,55189.63,35847.75,19341.88,0.35,17.04409096961334,0.6495377559474093,Good
user_0004,2024-06,52841.26,35593.09,17248.17,0.326,17.354324860571733,0.6735852372018429,Good
user_0004,2024-07,50830.1,33285.15,17544.95,0.345,17.860233758567777,0.6548315471401285,Good
user_0004,2024-08,54747.87,32076.31,22671.56,0.414,18.12025767395843,0.5858914251290248,Good
user_0004,2024-09,51933.73,35707.84,16225.89,0.312,17.7725640730305,0.6875654421229358,Good
user_0004,2024-10,54486.47,37668.37,16818.1,0.309,17.011677328462763,0.6913344184321352,Good
user_0004,2024-11,54732.48,32037.48,22695.0,0.415,17.691458915254586,0.5853467285923797,Good
user_0004,2024-12,54116.77,35814.43,18302.34,0.338,16.906612826563897,0.661799063563026,Good
user_0005,2024-01,50623.34,33247.6,17375.74,0.343,20.68266396016345,0.6567642721814303,Needs Improvement
user_0005,2024-02,49864.08,35431.07,14433.01,0.289,22.40476230340854,0.7105529513170085,Needs Improvement
user_0005,2024-03,48233.74,33243.47,14990.26,0.311,22.37736370247802,0.6892162584666631,Needs Improvement
user_0005,2024-04,49041.48,33392.43,15649.05,0.319,22.1261093185398,0.6809017040321096,Needs Improvement
user_0005,2024-05,48857.03,36348.54,12508.49,0.256,21.56434881238343,0.743977669180121,Needs Improvement
user_0005,2024-06,50406.98,37952.57,12454.41,0.247,22.102305860367615,0.7529229429857301,Needs Improvement
user_0005,2024-07,46877.04,38018.74,8858.3,0.189,22.019226001555698,0.8110311056340423,Needs Improvement
user_0005,2024-08,49764.32,34629.99,15134.33,0.304,22.470102311124304,0.6958798860737306,Needs Improvement
user_0005,2024-09,49902.67,32846.91,17055.75,0.342,21.449348666685903,0.6582195730895456,Needs Improvement
user_0005,2024-10,50688.43,32381.23,18307.2,0.361,22.647920839863076,0.6388288388654517,Needs Improvement
user_0005,2024-11,49677.15,36541.26,13135.9,0.264,21.152283734370855,0.7355746968225587,Needs Improvement
user_0005,2024-12,47576.82,38753.67,8823.15,0.185,21.212280036171453,0.8145493167425361,Needs Improvement
user_0006,2024-01,41846.8,27405.54,14441.26,0.345,23.76461698611261,0.6549017679856604,Moderate
user_0006,2024-02,38732.21,28252.03,10480.18,0.271,25.82698509925054,0.729419513024299,Moderate
user_0006,2024-03,40191.87,27204.31,12987.56,0.323,24.269623474646014,0.6768609867263833,Moderate
user_0006,2024-04,40808.47,27671.82,13136.65,0.322,25.59064152073278,0.678090139723103,Moderate
user_0006,2024-05,40747.29,28047.6,12699.69,0.312,23.76244132962406,0.6883303907577306,Moderate
user_0006,2024-06,42690.76,26603.79,16086.97,0.377,23.602171771914904,0.6231744798360902,Moderate
user_0006,2024-07,41389.22,28538.28,12850.94,0.31,24.444800095353713,0.6895099938470955,Moderate
user_0006,2024-08,40407.94,29600.74,10807.19,0.267,23.903809942901674,0.7325477378075937,Moderate
user_0006,2024-09,42029.04,28837.26,13191.78,0.314,24.45422808027604,0.6861270289937704,Moderate
user_0006,2024-10,40553.88,26641.17,13912.71,0.343,25.27556267583112,0.6569327236059981,Moderate
user_0006,2024-11,40777.24,27000.79,13776.46,0.338,24.89080195539705,0.6621533318438956,Moderate
user_0006,2024-12,42743.68,27641.57,15102.11,0.353,25.691172579479606,0.6466819326702692,Moderate
user_0007,2024-01,70869.09,43272.58,27596.5,0.389,29.66489769495765,0.6105988593894364,Moderate
user_0007,2024-02,71399.46,44839.25,26560.21,0.372,29.041244033129384,0.6280054617152727,Moderate
user_0007,2024-03,74972.11,50769.93,24202.17,0.323,31.309663122432447,0.6771842791405834,Moderate
user_0007,2024-04,69593.5,43896.12,25697.39,0.369,29.247210958662127,0.630750196931197,Moderate
user_0007,2024-05,73597.4,51576.8,22020.6,0.299,30.35665495094906,0.7007965495363244,Moderate
user_0007,2024-06,69243.12,47620.62,21622.51,0.312,30.106894257910287,0.6877306496578829,Moderate
user_0007,2024-07,71083.66,48655.59,22428.07,0.316,31.237599400431225,0.6844834721063885,Moderate
user_0007,2024-08,69181.67,43090.72,26090.95,0.377,32.08011830227996,0.622863243524281,Moderate
user_0007,2024-09,70060.78,43264.01,26796.77,0.382,29.620979893513315,0.6175211239759751,Moderate
user_0007,2024-10,68665.93,46475.02,22190.91,0.323,31.493412014889255,0.6768279529613568,Moderate
user_0007,2024-11,70841.93,46972.59,23869.34,0.337,31.105751208118306,0.6630619547659597,Moderate
user_0007,2024-12,72048.75,50936.82,21111.93,0.293,31.687934455047372,0.7069771450255462,Moderate
user_0008,2024-01,57686.81,50090.61,7596.2,0.132,16.75494998896652,0.8683199657881864,Moderate
user_0008,2024-02,63624.97,47292.72,16332.25,0.257,17.640007669737656,0.7433043252149842,Moderate
user_0008,2024-03,62203.89,45066.02,17137.87,0.276,16.88558419465859,0.7244887358236443,Moderate
user_0008,2024-04,63644.96,50844.95,12800.01,0.201,16.143730852046215,0.7988841303416784,Moderate
user_0008,2024-05,61911.53,45986.34,15925.18,0.257,15.991694862708934,0.7427751528412793,Moderate
user_0008,2024-06,60074.2,44934.57,15139.63,0.252,17.357369999942488,0.7479845313551151,Moderate
user_0008,2024-07,59672.93,50560.17,9112.76,0.153,15.98095579291401,0.8472881886271625,Moderate
user_0008,2024-08,59493.92,44995.41,14498.5,0.244,16.372833658053512,0.7563027330812356,Moderate
user_0008,2024-09,58040.31,44482.54,13557.77,0.234,16.914439931504603,0.7664077019713389,Moderate
user_0008,2024-10,59394.08,46667.9,12726.19,0.214,16.613877779432006,0.7857330832796017,Moderate
user_0008,2024-11,62939.91,51298.29,11641.62,0.185,16.809152922022324,0.8150359558152159,Moderate
user_0008,2024-12,59629.41,43720.24,15909.17,0.267,17.583668983408625,0.7331993080099829,Moderate
user_0009,2024-01,50944.11,41174.26,9769.85,0.192,27.048541554949914,0.8082241930321952,Moderate
user_0009,2024-02,52330.51,40029.71,12300.8,0.235,28.38769544620796,0.7649401862884629,Moderate
user_0009,2024-03,51275.93,44068.65,7207.28,0.141,26.56758934132408,0.8594412439440366,Moderate
user_0009,2024-04,50999.04,46424.65,4574.39,0.09,26.750569472299418,0.9103044833383633,Moderate
user_0009,2024-05,54999.41,43293.89,11705.52,0.213,26.44063070803197,0.7871700289451429,Moderate
